entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_dollars,exit_reason
2020-01-28 15:37:00+00:00,2020-01-28 15:38:00+00:00,Short,9080.75,9061.25,17.5,345.0,Time
2020-01-28 15:39:00+00:00,2020-01-28 15:40:00+00:00,Short,9080.5,9082.5,-4.0,-85.0,Time
2020-01-28 15:40:00+00:00,2020-01-28 15:41:00+00:00,Short,9082.5,9069.25,11.25,220.0,Time
2020-01-28 15:41:00+00:00,2020-01-28 15:43:00+00:00,Short,9117.25,9071.5,43.75,870.0,Time
2020-01-28 19:19:00+00:00,2020-01-28 19:20:00+00:00,Long,9130.25,9111.25,-21.0,-425.0,Time
2020-01-28 19:21:00+00:00,2020-01-28 19:23:00+00:00,Long,9130.5,9110.0,-22.5,-455.0,Time
2020-01-28 19:25:00+00:00,2020-01-28 19:26:00+00:00,Short,9130.5,9125.0,3.5,65.0,Time
2020-01-28 19:36:00+00:00,2020-01-28 19:38:00+00:00,Short,9132.25,9115.0,15.25,300.0,Time
2020-01-28 19:40:00+00:00,2020-01-28 19:42:00+00:00,Short,9135.75,9114.75,19.0,375.0,Time
2020-01-28 19:45:00+00:00,2020-01-28 19:46:00+00:00,Short,9135.75,9113.5,20.25,400.0,Time
2020-01-28 20:54:00+00:00,2020-01-28 20:56:00+00:00,Long,9101.0,9105.25,2.25,40.0,Time
2020-01-28 20:58:00+00:00,2020-01-28 20:59:00+00:00,Long,9100.5,9098.25,-4.25,-90.0,Time
2020-01-28 20:59:00+00:00,2020-01-28 21:01:00+00:00,Long,9098.25,9123.75,23.5,465.0,Time
2020-01-29 14:36:00+00:00,2020-01-29 14:37:00+00:00,Short,9177.0,9150.25,24.75,490.0,Time
2020-01-29 14:47:00+00:00,2020-01-29 14:48:00+00:00,Long,9131.75,9127.25,-6.5,-135.0,Time
2020-01-29 14:48:00+00:00,2020-01-29 14:49:00+00:00,Long,9127.25,9120.5,-8.75,-180.0,Time
2020-01-29 14:49:00+00:00,2020-01-29 14:50:00+00:00,Long,9120.5,9139.5,17.0,335.0,Time
2020-01-29 14:54:00+00:00,2020-01-29 14:55:00+00:00,Short,9119.75,9112.0,5.75,110.0,Time
2020-01-29 14:55:00+00:00,2020-01-29 14:56:00+00:00,Short,9112.0,9131.25,-21.25,-430.0,Time
2020-01-29 14:57:00+00:00,2020-01-29 14:58:00+00:00,Short,9102.25,9121.5,-21.25,-430.0,Time
2020-01-29 14:58:00+00:00,2020-01-29 14:59:00+00:00,Long,9104.5,9105.5,-1.0,-25.0,Time
2020-01-29 16:06:00+00:00,2020-01-29 16:07:00+00:00,Short,9133.0,9111.5,19.5,385.0,Time
2020-01-29 16:13:00+00:00,2020-01-29 16:14:00+00:00,Short,9134.0,9116.75,15.25,300.0,Time
2020-01-29 19:03:00+00:00,2020-01-29 19:04:00+00:00,Short,9165.0,9154.25,8.75,170.0,Time
2020-01-29 19:05:00+00:00,2020-01-29 19:06:00+00:00,Short,9173.75,9175.0,-3.25,-70.0,Time
2020-01-29 19:06:00+00:00,2020-01-29 19:07:00+00:00,Short,9175.0,9154.75,18.25,360.0,Time
2020-01-29 20:14:00+00:00,2020-01-29 20:16:00+00:00,Short,9124.25,9124.25,-2.0,-45.0,Time
2020-01-29 20:22:00+00:00,2020-01-29 20:24:00+00:00,Short,9118.75,9145.25,-28.5,-575.0,Time
2020-01-29 20:54:00+00:00,2020-01-29 20:55:00+00:00,Long,9116.5,9134.25,15.75,310.0,Time
2020-01-29 20:56:00+00:00,2020-01-29 20:57:00+00:00,Long,9116.25,9113.0,-5.25,-110.0,Time
2020-01-29 20:57:00+00:00,2020-01-29 20:59:00+00:00,Long,9113.0,9109.75,-5.25,-110.0,Time
2020-01-30 13:33:00+00:00,2020-01-30 13:34:00+00:00,Short,9070.0,9085.0,-17.0,-345.0,Time
2020-01-30 14:04:00+00:00,2020-01-30 14:05:00+00:00,Short,9092.5,9090.0,0.5,5.0,Time
2020-01-30 14:05:00+00:00,2020-01-30 14:07:00+00:00,Short,9090.0,9066.5,21.5,425.0,Time
2020-01-30 14:33:00+00:00,2020-01-30 14:34:00+00:00,Short,9100.0,9090.25,7.75,150.0,Time
2020-01-30 14:35:00+00:00,2020-01-30 14:36:00+00:00,Short,9112.5,9124.0,-13.5,-275.0,Time
2020-01-30 14:36:00+00:00,2020-01-30 14:37:00+00:00,Short,9124.0,9104.25,17.75,350.0,Time
2020-01-30 14:37:00+00:00,2020-01-30 14:38:00+00:00,Short,9123.0,9124.25,-3.25,-70.0,Time
2020-01-30 14:38:00+00:00,2020-01-30 14:39:00+00:00,Short,9124.25,9129.25,-7.0,-145.0,Time
2020-01-30 14:39:00+00:00,2020-01-30 14:40:00+00:00,Short,9129.25,9132.0,-4.75,-100.0,Time
2020-01-30 14:40:00+00:00,2020-01-30 15:10:00+00:00,Short,9132.0,9103.25,26.75,530.0,Time
2020-01-30 15:39:00+00:00,2020-01-30 15:40:00+00:00,Long,9056.0,9075.75,17.75,350.0,Time
2020-01-30 15:40:00+00:00,2020-01-30 15:41:00+00:00,Long,9053.25,9048.0,-7.25,-150.0,Time
2020-01-30 15:41:00+00:00,2020-01-30 15:42:00+00:00,Long,9048.0,9070.0,20.0,395.0,Time
2020-01-30 15:44:00+00:00,2020-01-30 15:45:00+00:00,Long,9048.25,9037.5,-12.75,-260.0,Time
2020-01-30 15:45:00+00:00,2020-01-30 15:46:00+00:00,Long,9037.5,9044.25,4.75,90.0,Time
2020-01-30 15:53:00+00:00,2020-01-30 15:54:00+00:00,Short,9035.75,9051.0,-17.25,-350.0,Time
2020-01-30 15:54:00+00:00,2020-01-30 15:56:00+00:00,Short,9033.5,9033.0,-1.5,-35.0,Time
2020-01-30 15:59:00+00:00,2020-01-30 16:00:00+00:00,Short,9027.75,9047.5,-21.75,-440.0,Time
2020-01-30 19:03:00+00:00,2020-01-30 19:05:00+00:00,Short,9077.0,9058.25,16.75,330.0,Time
2020-01-30 19:05:00+00:00,2020-01-30 19:07:00+00:00,Short,9080.0,9060.0,18.0,355.0,Time
2020-01-30 19:09:00+00:00,2020-01-30 19:11:00+00:00,Short,9085.25,9074.0,9.25,180.0,Time
2020-01-30 19:42:00+00:00,2020-01-30 19:43:00+00:00,Long,9130.0,9068.5,-63.5,-1275.0,Stop Loss
2020-01-30 20:04:00+00:00,2020-01-30 20:06:00+00:00,Short,9126.5,9105.0,19.5,385.0,Time
2020-01-30 20:22:00+00:00,2020-01-30 20:23:00+00:00,Short,9137.5,9121.0,14.5,285.0,Time
2020-01-30 20:30:00+00:00,2020-01-30 20:32:00+00:00,Short,9134.25,9113.75,18.5,365.0,Time
2020-01-30 20:46:00+00:00,2020-01-30 20:47:00+00:00,Short,9148.5,9134.75,11.75,230.0,Time
2020-01-30 20:52:00+00:00,2020-01-30 20:53:00+00:00,Short,9150.0,9137.25,10.75,210.0,Time
2020-01-30 20:56:00+00:00,2020-01-30 20:57:00+00:00,Short,9159.5,9142.5,15.0,295.0,Time
2020-01-30 20:59:00+00:00,2020-01-30 21:00:00+00:00,Short,9162.0,9170.0,-10.0,-205.0,Time
2020-01-30 21:00:00+00:00,2020-01-30 21:01:00+00:00,Short,9170.0,9210.0,-42.0,-845.0,Time
2020-01-31 14:13:00+00:00,2020-01-31 14:15:00+00:00,Short,9216.0,9199.5,14.5,285.0,Time
2020-01-31 14:32:00+00:00,2020-01-31 14:33:00+00:00,Long,9147.5,9163.5,14.0,275.0,Time
2020-01-31 14:35:00+00:00,2020-01-31 14:36:00+00:00,Short,9138.75,9141.0,-4.25,-90.0,Time
2020-01-31 14:41:00+00:00,2020-01-31 14:42:00+00:00,Short,9129.0,9145.0,-18.0,-365.0,Time
2020-01-31 14:45:00+00:00,2020-01-31 14:46:00+00:00,Short,9122.5,9136.25,-15.75,-320.0,Time
2020-01-31 15:16:00+00:00,2020-01-31 15:18:00+00:00,Long,9086.5,9101.75,13.25,260.0,Time
2020-01-31 15:18:00+00:00,2020-01-31 15:20:00+00:00,Long,9083.25,9094.0,8.75,170.0,Time
2020-01-31 15:28:00+00:00,2020-01-31 15:29:00+00:00,Long,9080.5,9069.5,-13.0,-265.0,Time
2020-01-31 15:29:00+00:00,2020-01-31 15:30:00+00:00,Long,9069.5,9087.0,15.5,305.0,Time
2020-01-31 15:43:00+00:00,2020-01-31 15:44:00+00:00,Long,9067.5,9062.5,-7.0,-145.0,Time
2020-01-31 15:44:00+00:00,2020-01-31 15:45:00+00:00,Long,9062.5,9085.5,21.0,415.0,Time
2020-01-31 15:45:00+00:00,2020-01-31 15:47:00+00:00,Long,9063.0,9070.0,5.0,95.0,Time
2020-01-31 15:50:00+00:00,2020-01-31 15:52:00+00:00,Long,9060.75,9064.5,1.75,30.0,Time
2020-01-31 15:53:00+00:00,2020-01-31 15:54:00+00:00,Long,9054.25,9062.0,5.75,110.0,Time
2020-01-31 16:06:00+00:00,2020-01-31 16:07:00+00:00,Long,9050.75,9057.0,4.25,80.0,Time
2020-01-31 16:08:00+00:00,2020-01-31 16:10:00+00:00,Long,9050.25,9070.75,18.5,365.0,Time
2020-01-31 16:12:00+00:00,2020-01-31 16:13:00+00:00,Long,9046.5,9045.25,-3.25,-70.0,Time
2020-01-31 16:13:00+00:00,2020-01-31 16:15:00+00:00,Long,9045.25,9045.0,-2.25,-50.0,Time
2020-01-31 16:15:00+00:00,2020-01-31 16:16:00+00:00,Long,9045.0,9030.75,-16.25,-330.0,Time
2020-01-31 18:31:00+00:00,2020-01-31 18:32:00+00:00,Long,9016.0,9028.0,10.0,195.0,Time
2020-01-31 18:32:00+00:00,2020-01-31 18:34:00+00:00,Long,9008.0,9018.0,8.0,155.0,Time
2020-01-31 18:36:00+00:00,2020-01-31 18:37:00+00:00,Long,9008.5,9030.0,19.5,385.0,Time
2020-01-31 18:38:00+00:00,2020-01-31 18:39:00+00:00,Long,9004.75,9007.75,1.0,15.0,Time
2020-01-31 18:43:00+00:00,2020-01-31 18:44:00+00:00,Long,9000.75,9017.0,14.25,280.0,Time
2020-01-31 18:44:00+00:00,2020-01-31 18:45:00+00:00,Long,8998.25,9001.25,1.0,15.0,Time
2020-01-31 18:47:00+00:00,2020-01-31 18:48:00+00:00,Long,8999.5,9006.0,4.5,85.0,Time
2020-01-31 19:32:00+00:00,2020-01-31 19:33:00+00:00,Short,9055.0,9063.75,-10.75,-220.0,Time
2020-01-31 19:33:00+00:00,2020-01-31 19:34:00+00:00,Short,9063.75,9039.0,22.75,450.0,Time
2020-01-31 20:10:00+00:00,2020-01-31 20:12:00+00:00,Short,9003.25,9002.5,-1.25,-30.0,Time
2020-01-31 20:13:00+00:00,2020-01-31 20:14:00+00:00,Short,8998.75,9015.0,-18.25,-370.0,Time
2020-01-31 20:14:00+00:00,2020-01-31 20:16:00+00:00,Short,8999.75,9017.0,-19.25,-390.0,Time
2020-02-03 14:35:00+00:00,2020-02-03 14:36:00+00:00,Short,9100.0,9107.25,-9.25,-190.0,Time
2020-02-03 14:36:00+00:00,2020-02-03 14:37:00+00:00,Short,9107.25,9093.0,12.25,240.0,Time
2020-02-03 14:37:00+00:00,2020-02-03 14:38:00+00:00,Short,9110.25,9091.0,17.25,340.0,Time
2020-02-03 14:39:00+00:00,2020-02-03 14:40:00+00:00,Short,9107.75,9109.0,-3.25,-70.0,Time
2020-02-03 14:40:00+00:00,2020-02-03 14:41:00+00:00,Short,9109.0,9105.75,1.25,20.0,Time
2020-02-03 14:44:00+00:00,2020-02-03 14:45:00+00:00,Short,9107.0,9108.0,-3.0,-65.0,Time
2020-02-03 14:45:00+00:00,2020-02-03 14:46:00+00:00,Short,9108.0,9127.0,-21.0,-425.0,Time
2020-02-03 14:46:00+00:00,2020-02-03 14:47:00+00:00,Short,9127.0,9128.25,-3.25,-70.0,Time
2020-02-03 14:47:00+00:00,2020-02-03 15:17:00+00:00,Short,9128.25,9144.25,-18.0,-365.0,Time
2020-02-03 15:20:00+00:00,2020-02-03 15:21:00+00:00,Short,9162.0,9163.5,-3.5,-75.0,Time
2020-02-03 15:21:00+00:00,2020-02-03 15:22:00+00:00,Short,9163.5,9157.0,4.5,85.0,Time
2020-02-03 15:24:00+00:00,2020-02-03 15:25:00+00:00,Short,9159.0,9150.25,6.75,130.0,Time
2020-02-03 15:26:00+00:00,2020-02-03 15:27:00+00:00,Short,9165.75,9150.5,13.25,260.0,Time
2020-02-03 15:33:00+00:00,2020-02-03 15:34:00+00:00,Short,9164.25,9143.75,18.5,365.0,Time
2020-02-03 18:32:00+00:00,2020-02-03 18:34:00+00:00,Long,9108.0,9112.75,2.75,50.0,Time
2020-02-03 19:43:00+00:00,2020-02-03 19:45:00+00:00,Short,9150.0,9131.75,16.25,320.0,Time
2020-02-04 14:15:00+00:00,2020-02-04 14:16:00+00:00,Long,9245.5,9247.5,0.0,-5.0,Time
2020-02-04 14:17:00+00:00,2020-02-04 14:19:00+00:00,Long,9246.5,9246.0,-2.5,-55.0,Time
2020-02-04 14:19:00+00:00,2020-02-04 14:21:00+00:00,Long,9246.0,9249.25,1.25,20.0,Time
2020-02-04 14:26:00+00:00,2020-02-04 14:28:00+00:00,Long,9243.75,9271.0,25.25,500.0,Time
2020-02-04 14:30:00+00:00,2020-02-04 14:31:00+00:00,Short,9287.25,9266.75,18.5,365.0,Time
2020-02-04 14:38:00+00:00,2020-02-04 14:40:00+00:00,Long,9233.25,9242.25,7.0,135.0,Time
2020-02-04 14:49:00+00:00,2020-02-04 14:50:00+00:00,Short,9287.5,9291.75,-6.25,-130.0,Time
