strategy,period,trades,start_equity,end_equity,net_profit,return,profit_factor,win_rate,max_drawdown
Premium/Discount Long 1m,2014-03,788,-85949.0,-88373.5,-2424.5,-0.09698,0.07320336391437308,0.07360406091370558,2424.5
Premium/Discount Long 1m,2014-04,813,-88373.5,-90802.5,-2429.0,-0.09716,0.08735675371031373,0.1008610086100861,2429.0
Premium/Discount Long 1m,2014-05,667,-90802.5,-92795.0,-1992.5,-0.0797,0.045966004309312906,0.05847076461769116,1992.5
Premium/Discount Long 1m,2014-06,626,-92795.0,-94707.0,-1912.0,-0.07648,0.014940752189592994,0.022364217252396165,1912.0
Premium/Discount Long 1m,2014-07,701,-94707.0,-96833.0,-2126.0,-0.08504,0.03779135551029645,0.06276747503566334,2128.0
Premium/Discount Long 1m,2014-08,577,-96833.0,-98535.0,-1702.0,-0.06808,0.03432624113475177,0.053726169844020795,1702.0
Premium/Discount Long 1m,2014-09,799,-98535.0,-100856.0,-2321.0,-0.09284,0.03170629954109303,0.058823529411764705,2321.0
Premium/Discount Long 1m,2014-10,885,-100856.0,-103531.0,-2675.0,-0.107,0.09628378378378379,0.1016949152542373,2675.5
Premium/Discount Long 1m,2014-11,511,-103531.0,-105067.5,-1536.5,-0.06146,0.023514458214172227,0.04500978473581213,1536.5
Premium/Discount Long 1m,2014-12,671,-105067.5,-107065.5,-1998.0,-0.07992,0.0946986859990938,0.09687034277198212,1998.0
Premium/Discount Long 1m,2015-01,801,-107065.5,-109622.0,-2556.5,-0.10226,0.12358587589989715,0.12109862671660425,2564.5
Premium/Discount Long 1m,2015-02,485,-109622.0,-110977.5,-1355.5,-0.05422,0.0760054533060668,0.10309278350515463,1359.5
Premium/Discount Long 1m,2015-03,814,-110977.5,-113430.0,-2452.5,-0.0981,0.03992953611274222,0.06756756756756757,2452.5
Premium/Discount Long 1m,2015-04,713,-113430.0,-115604.5,-2174.5,-0.08698,0.05064396419995634,0.05890603085553997,2174.5
Premium/Discount Long 1m,2015-05,645,-115604.5,-117569.5,-1965.0,-0.0786,0.03368576346201131,0.06046511627906977,1965.0
Premium/Discount Long 1m,2015-06,716,-117569.5,-119719.0,-2149.5,-0.08598,0.04931446262715613,0.0712290502793296,2157.5
Premium/Discount Long 1m,2015-07,829,-119719.0,-122246.0,-2527.0,-0.10108,0.050713749060856496,0.06996381182147166,2527.0
Premium/Discount Long 1m,2015-08,909,-122246.0,-125372.0,-3126.0,-0.12504,0.158772874058127,0.13861386138613863,3126.0
Premium/Discount Long 1m,2015-09,791,-125372.0,-127580.5,-2208.5,-0.08834,0.1811271783463107,0.1934260429835651,2208.5
Premium/Discount Long 1m,2015-10,804,-127580.5,-129791.0,-2210.5,-0.08842,0.08297033810412778,0.09701492537313433,2210.5
Premium/Discount Long 1m,2015-11,774,-129791.0,-132178.5,-2387.5,-0.0955,0.048994224258115913,0.06201550387596899,2387.5
